"","x"
"51","<U+2705> Es imprescindible acabar con esta etapa negra de división y empobrecimiento en Cataluña.

<U+0001F5F3> Tenemos que movilizarnos para aprovechar esta oportunidad.

<U+0001F5A5> @CarrizosaCarlos ""El voto a @CiutadansCs es el que evita un nuevo tripartito y un segundo 'procés'"" #NEFOnline https://t.co/Mmr4LQ4JM2"
"52","<U+0001F535> El PP tiene enormes casos de corrupción.
<U+0001F534> El PSOE también.
<U+0001F397> El separatismo la tapa con el 'procés'.

<U+2705> Tenemos que dejar atrás esta vergüenza.

<U+0001F5A5> @InesArrimadas ""Quien se indigna tiene una opción limpia el #14F en @CiutadansCs"" #NEFOnline https://t.co/M4vAnGQFOF"
"53","<U+0001F34A> @CarrizosaCarlos e @InesArrimadas estarán en breve en un encuentro telemático con @NewEconomyForum.

<U+0001F51B> ¡No te lo pierdas!

<U+0001F4E1> Acompáñanos #EnDirecto y conoce nuestras propuestas #ParaQueGanemosTodos en Cataluña. https://t.co/rlotGFfm0g"
"54","A las 11h, participo en el encuentro telemático de @NewEconomyForum en el que me acompañará @InesArrimadas.

Lo podréis seguir desde aquí <U+0001F447>
https://t.co/MTw1wrG1o2 https://t.co/dPc9mJHjcd"
"55","<U+0001F449> Los españoles merecen saber la verdad sobre la financiación irregular del PP. 

<U+2757><U+FE0F> Nuestro compromiso para #STOPCorrupción es firme venga de donde venga. 

<U+0001F535> Por ello exigimos al PP que deje de mirar hacia otro lado y colabore con la Justicia. https://t.co/LILQx4II9W"
"56","Porque claro, que dejen a sus hijos en guarderías como hemos hecho los que trabajamos...
Bien dicho compañero!!!
<U+0001F447><U+0001F3FC><U+0001F447><U+0001F3FC> https://t.co/xSxsN1XxZ3"
"57","El Gobierno de España no está ni se le espera para poner en marcha un plan de rescate del turismo. Este sector es una industria y un motor económico por mucho que algunos ministros digan lo contrario. Sin empresas no hay empleo, tenemos que ayudarlas. #ParaQueGaneElTurismo https://t.co/7DQE1DebWM"
"58","<U+0001F534>El 2020 se llevó por delante 1.384 negocios de autónomos en #Galicia ,el 2021 va a peor...

<U+0001F34A>Proponemos 1 aplazamiento de 6 meses en la cuota de autónomos y en el pago de impuestos a negocios que estén sufriendo una pérdida de ingresos y ventas del 40%

https://t.co/EppvaG337Y"
"59","<U+0001F44B>#BuenosDías

<U+0001F9E1>Sabemos que Cataluña es una enorme potencia turística.

<U+0001F4AA>Vamos a trabajar por recuperar el tiempo perdido con gobiernos separatistas. 

<U+0001F34A>#ParaQueGaneElTurismo proponemos:
<U+2705>Bono Turístico
<U+2705>Plan Estratégico 2030
<U+2705>Eliminar la tasa turística durante la pandemia https://t.co/FMPiE36027"
"60",".@CiudadanosCs rechaza la ""gran irresponsabilidad"" de dejar vacante la embajada de Londres durante semanas https://t.co/7DbE0jWtxR. España no puede permitirse ahora este vacío: hay muchos ciudadanos y muchas empresas en UK."
