"","x"
"52","La situación del principal partido de la oposición es insostenible.

Génova tenía una caja B y montaron una policía para ocultar las pruebas. Intentaron tapar un delito con otro delito, la #Kitchen.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/zHzcCtLYIt"
"53","Lo que conocemos de la caja B llevó al PSOE a presentar una moción de censura.

Son 28 años de financiación irregular del PP.

Animo a Casado a que, ahora sí, saque la pala, limpie, dé explicaciones y no se esconda.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/3PpbbycqkO"
"54","Lo que le importa al PP es otra cosa.

Al PP no le sienta bien el acuerdo del Gobierno en Europa para desarrollar unos fondos europeos de 140.000 millones de euros.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/K8wmVcS4Kl"
"55","Ante lo que estamos es ante las excusas del PP ante su voto en contra, inaudito, del decreto para gestionar los fondos europeos.

Es justificar lo injustificable.
Y ganas de desviar la atención.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/LfIzd3d96z"
"56","Camino de @Lanoche_24h para ser entrevistado por @xabierfortes. 
¡A partir de las 22:00 horas en el #Canal24Horas! 

https://t.co/q94Y2qzaL7 https://t.co/kU7WVofBaN"
"57","<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F>Esta noche no te pierdas la entrevista al portavoz del @gpssenado, @Ander_Gil <U+0001F339>

<U+23F0> A partir de las 22:00h.
<U+0001F4FA> En @Lanoche_24h.

<U+0001F4F6> Síguelo en directo: https://t.co/qIfKMkbSkQ

#LaEspañaQueNosMerecemos https://t.co/Pcnrl56e3Y"
"58","El #14F es una gran oportunidad para dejar atrás una década de prioridades equivocadas y derroche de tiempo y energías. Cataluña necesita un cambio.
 
Con @salvadorilla, vuelve #Cataluña.

Lee la Tribuna de @miqueliceta en ""El Socialista""<U+0001F339> https://t.co/hRiZC0yKTZ

#PresidentIlla https://t.co/CvJTTPVIbA"
"59","<U+0001F4F0>@Teresaribera destaca la apuesta del Gobierno por la transición ecológica, ""pensando de modo inclusivo y solidario en los ciudadanos”.

<U+0001F331>Una agenda verde y social que también será pilar fundamental del proyecto de @salvadorilla para Catalunya.

#FemHo<U+0001F339>
https://t.co/SJpbkfQYuN"
"60","<U+0001F5DE><U+FE0F> ¿Quieres seguir la historia de la izquierda? <U+0001F5DE><U+FE0F>

<U+0001F48C> Recuerda: Mañana, nuevo número de #ElSocialista <U+203C><U+FE0F>

Suscríbete: https://t.co/tiFzAsDhca

<U+270A> 'El Socialista', pasión por los valores universales progresistas <U+2764><U+FE0F> https://t.co/KaTPK52ztW"
"61","Hay que pasar página. Abrir un nuevo tiempo.

Cataluña no puede esperar más.

La única oportunidad de cambio el #14F es el PSC @socialistes_cat.

<U+0001F5F3><U+FE0F> ¡El #14F, a ganar las elecciones! <U+0001F64C><U+0001F3FD>

<U+0001F339> @salvadorilla
 
#PresidentIlla https://t.co/193n8zjze5"
