"","x"
"61","<U+0001F5F3> El voto es uno de los derechos civiles fundamentales más importantes en una democracia.

Por eso, hoy hemos propuesto la derogación del voto rogado. <U+0001F64C> https://t.co/gpDEJVsrEK"
"62","L’altre dia em volien insultar dient-me senyora de la neteja. Avui, caixera de supermercat i poligonera. Davant del seu classisme, orgull de classe. Visca les treballadores essencials!

Alguns canvien el psicoanalista per escriure al Nacional<U+0001F937><U+200D> https://t.co/Knce1ELSZt"
"63","La gerente del Hospital de Alcalá: ""¿Por qué tienen que tener un móvil?¿Por qué tienen que llamar a la familia?”

Parece de película de terror, pero quieren incomunicar a pacientes para que no rechacen ir al Hospital Zendal. 
https://t.co/oE2rYmYK1m https://t.co/7ansHRVBpd"
"64","Mariano Rajoy va a pasar de ser M.Rajoy a “esa persona de la que usted me habla”."
"65","No, no nos conformamos. <U+0001F447><U+0001F4AA> https://t.co/IJgBs5AKUB"
"66","Pregúntate siempre quien paga lo que lees <U+0001F447><U+0001F3FB>

Libertad Digital, propiedad de Jiménez Losantos, se financió con dinero de la Caja B del PP.  

Bárcenas explica que metieron dinero en el medio para alimentar el bulo que atribuía la autoría del 11-M a ETA

https://t.co/mgxISHu9FY"
"67","Así ha dado hoy los buenos días la diputada de Unidas Podemos @luciadalda al partido de Bárcenas. https://t.co/7AwHTw6Wk6"
"68","<U+0001F4F9> Hemos creado un programa de ayudas para fomentar la recualificación del sistema universitario con el objetivo de mejorar su calidad.

Una inversión de 387 millones de euros para promover el desarrollo profesional del personal docente e investigador y jóvenes doctores. https://t.co/NjuqTQeHLW"
"69","Nos preguntamos si a lo mejor el debate sobre la Ley Trans no tiene que ver con que Unidas Podemos esté en el Gobierno y, en concreto, en el Ministerio de Igualdad. <U+0001F914> https://t.co/SbZz8DqMqy"
"70","El PP ha pretendido controlar el Poder Judicial para saquear este país de forma impune. 

Está claro por qué Casado se empeña en bloquear su renovación. https://t.co/UPYXQeWszd"
"71","Hoy registramos una proposición de ley para ELIMINAR PARA SIEMPRE EL VOTO ROGADO. https://t.co/L7un2DXwoy"
"72","Vamos a refrescar la memoria: el CGPJ es el órgano encargado de elegir a los jueces del Supremo que luego juzgarán los casos de corrupción. El CGPJ lleva dos años caducado porque el PP se niega a renovarlo. ¿Alguna idea de por qué en el PP se niegan a renovar el CGPJ? 

Os leemos"
"73","<U+0001F3A7>  No te pierdas el Rap de @EnComu_Podem, con Miss Raisa, @jessicaalbiach y @AdaColau! <U+2764><U+FE0F>

¡Rap, lucha, comunidad y sororidad! https://t.co/gWksf5bkAF"
"74","""Buenos días a todo el mundo, menos a los que llevan financiándose ilegalmente los años que yo tengo"".

@luciadalda <U+0001F44F><U+0001F44F><U+0001F44F> https://t.co/guzAPeh8nz"
"75","Antes de la pandemia ya teníamos muchas causas comunes para defender más sanidad pública y más ciencia. Nuestro reconocimiento para los sanitarios y para investigadoras como @IrisABermejo, que trabaja en una vacuna terapéutica para tratar el cáncer.
#DíaMundialContraElCáncer"
"76","Igual así se entiende mejor. https://t.co/NsIFM2tVUX"
