"","x"
"58","Bon dia<U+0001F44B>! Comença l'entrevista a Oriol @junqueras a @elmonarac1! <U+0001F534> Segueix-la en directe aquí <U+27A1><U+FE0F> https://t.co/4ZylPpBvua. No t'ho perdis!

#AlCostatDeLaGent https://t.co/9DWzI71zIQ"
"59","<U+0001F3A5> [VÍDEO] @perearagones: ""En els darrers anys hi ha hagut una recuperació de la despesa del Sistema Sanitari <U+0001F3E5>de Catalunya. Però necessitem <U+2795> recursos. És imprescindible administrar els recursos, els impostos, que genera Catalunya"" #AlCostatDeLaGent <U+0001F447> https://t.co/uOPXln649w"
"60","<U+0001F3A5> [VÍDEO] @perearagones al debat electoral de @SERCatalunya: ""Qui havia d'articular ajuts als autònoms era el govern de l'estat. Davant la inacció <U+274C>, hem posat tots els instruments"" <U+0001F447> #AlCostatDeLaGent https://t.co/hUY9d4sMg0"
"61","<U+0001F534> Ara, a les 8:30h <U+23F0>, segueix el candidat d'@Esquerra_ERC @perearagones al debat de candidats <U+0001F46B> a la presidència de la Generalitat que organitza @La_SER i @SERCatalunya a @AquiCuni 

<U+0001F4F2> https://t.co/MTQwsCk9XW https://t.co/rR0rhPnDWk"
"62","Quin plaer retrobar-me amb l'Oriol @junqueras a Cervera. Des del republicanisme estem #AlCostatDeLaGent per construir la República Catalana amb polítiques de feminisme, igualtat d'oportunitats i una educació de qualitat. https://t.co/07Gjr1JQop"
"63","Pobres blancos contra pobres negros: la extrema derecha y las políticas de ""emergencia"" alimentan la xenofobia en Canarias

https://t.co/4PVvAG9MXa"
"64","Gràcies, @ForcadellCarme! Com tu ens has dit, hem d'aprendre a saber valorar les petites coses. Avui, ens has fet una mica més feliços <U+0001F49B> #Llibertat #AlCostatDeLaGent https://t.co/JEqxMYtq9B"
"65","Aquesta setmana comencen les obres de 62 habitatges públics  destinats a lloguer a la zona de Vallpineda. 
Per altra banda els 42 habitatges socials de la zona de Santa Bàrbara ja tenen els fonaments fets. 
En menys de 2 anys Sitges tindrà un important  parc d'habitatge públic. https://t.co/p2UptOTjqV"
"66","<U+0001F4DD>”El PSC és un simple apèndix del PSOE. Salvador Illa, entre el que convingui al PSOE o el que convingui als catalans, esco­llirà el PSOE. Com a president, seria un teloner de luxe de Pedro Sánchez”
https://t.co/usrgBRYf86"
"67","Importantíssimes les explicacions de la persona que està pilotant la preparació de les eleccions #14 <U+0001F447> https://t.co/M0p4SW9hI0"
