"","x"
"79","<U+0001F3A5> @LauraBorras: ""Els nostres professionals són la nostra joia de la corona i els hem de cuidar. Cal un canvi de la manera com s’ha gestionat. Vull ser una presidenta que els escolti i prengui decisions. Ells estan al nostre costat i han de sentir que el Govern també ho està"" https://t.co/fOO1qcZ7W6"
"80","<U+0001F5E3><U+FE0F> @LauraBorras: ""La Covid és el darrer motiu que s’ha afegit a la llarga llista per fer la independència. #Junts diem que hem de passar de ""voler la independència"" a ""poder la independència"". I volem fer un canvi. Un canvi que ens faci passar d’un model reactiu a un de proactiu"" https://t.co/OudgTjnggy"
"81","<U+0001F3A5>president @KRLS: ""Tenim tres majories a guanyar el #14F: majoria absoluta al Parlament de forces independentistes; una majoria de més del 50% de vots independentistes a les urnes; i la majoria de #Junts, només aquesta majoria és garantia d'un govern nítidament independentista"" https://t.co/PjMzdUSOSv"
"82","<U+0001F3A5>president @KRLS: ""Necessitem construir el nostre Estat. Gran part de la resposta és a les nostres mans. Encara que una de les trampes de l’Estat és fer-nos pensar que no és així. I li hem de demostrar que a partir del #14F comencem a caminar allà on havíem deixat les coses"" https://t.co/qpsXQpH0fI"
"83","<U+0001F5E3><U+FE0F> @jcanadellb: ""A Catalunya hi ha un teixit empresarial potent, un esperit emprenedor increïble. Catalunya independent reinvertiria la meitat del dèficit fiscal en polítiques per millorar la competitivitat. Per això necessitem un Estat. I amb la @LauraBorras, ho farem realitat"" https://t.co/u7mioCQsFt"
"84","<U+0001F5E3><U+FE0F> @JACS_JaumeACS: ""Haurem de seguir lluitant, però només ho assolirem si som determinats i ferms. I el #14F fa olor a #21D. I ara sota el lideratge del MHP @KRLS i @LauraBorras, tornarem a guanyar. Presidenta, no serà fàcil, però estem amb tu i junts ho aconseguirem"" https://t.co/Z9qQmQSH7p"
"85","<U+0001F4E2> Avui a les 19 hores, no et perdis l'acte de campanya #JuntsPerBadalona!

<U+0001F5E3><U+FE0F> Amb el president @KRLS i els candidats @LauraBorras, @jcanadellb, @elsa_artadi, @JACS_JaumeACS, @Aurora_Madaula i @torrents_d. 

<U+0001F4CC> En directe a: https://t.co/qYgpapKuO4

#JuntsPerSer #JuntsPerFer https://t.co/HLdYBTYs9Y"
"86","<U+0001F4C4> @miriamnoguerasM: ""La llei de @socialistes_cat i @EnComu_Podem es carrega el model català de @bomberscat i les competències de la Generalitat de Catalunya""

<U+0001F4CC> Llegeix la nota de premsa: https://t.co/9c8aGF6mHL https://t.co/gPouysOoP3"
"87","Insubornables! Amb la @JNCatalunya a Montblanc debatent com ha de ser i com hem de fer el millor país possible: lliure, pròsper, sostenible, cohesionat i solidari. Per això volem la independència, per això votarem @JuntsXCat! https://t.co/EYanZrEauU"
"88","Avui he presidit l'acte d'inici de l'any acadèmic 20-21 de l'@ispccat amb la directora @montse_royes. Una escola que mostra què és @Interiorcat; estar al capdavant d'una comunitat de persones que tenen un element en comú, la voluntat de servei públic i de treballar per la gent https://t.co/hrvWRcaigN"
"89","La llei de Podemos i PSOE que pretén “recentralitzar i estatalitzar” el cos de bombers de Catalunya continua el seu tràmit. L'unionisme d'esquerres sap molt bé quina base ha d'eixamplar: la d'Espanya. #aCambioDeNada https://t.co/SjnGwms0p1"
"90","Dels creadors de “el gobierno más progressitat de la història” ajuda a fugir el rei, no tanca el CIE, més diners per militars, manté la llei mordassa... arriba<U+27A1><U+FE0F> treurem les competències a Catalunya dels Bombers. Això és el PSOE i Comuns. Per això no han de governar a Catalunya. https://t.co/KIlLMZb9nD https://t.co/PcwYYQD5ux"
"91","Volem que la ciutadania del Camp de Tarragona disposi de més i millor transport públic, amb una mobilitat de qualitat, sostenible i segura. Per això, cal un govern fort de @juntsxcat. 

Avui ho hem explicat amb el conseller @damiacalvet a Vila-seca. 

#JuntsPerFer
#JuntsPerSer https://t.co/OyQ2n5elce"
"92","Hem començat a difondre un seguit de ""video-càpsules"" per explicar el nostre cas, que no és un cas particular sinó el dels drets d'una nació minoritària a decidir el seu futur i a ser representada per qui els seus ciutadans volen que els representi. Seguiu-les a @JuntsEU https://t.co/RYlvJB8fLY"
"93","Gràcies per la iniciativa i el suport als @bomberscat, @LauraBorras. Continuarem defensant el model català d'emergències de les intromissions legislatives que no respecten les nostres competències https://t.co/sCJYvlOnwN"
"94","Doncs ja has vist HC @miquel_samper que el club España aquesta vegada l’han integrat PSOE, PP, Comuns, C’s i VOX. El govern progressista no té cap problema amb votar amb l’extrema dreta o la dreta extrema, però sempre contra Catalunya, en aquest cas, contra @bomberscat . https://t.co/kH6VigPOeR"
"95","Visitem les oficines d'Heura, Foods for Tomorrow. Indústria de futur i innovació, sostenible i transformadora. A Catalunya tenim grans projectes que cal potenciar i treballar sinergies per seguir liderant l'economia del coneixement i el creixement intel·ligent. https://t.co/okIk3L5FXY"
"96","Aquest mati he pogut visitar Olis Millàs, Sauleda pastissers, Mylva i ClauTic, quatre empreses del Maresme que aposten per la innovació i repensar-se per adaptar-se als nous reptes. Els de @JuntsXCat som aquests: els de repensar, innovar i persistir! https://t.co/yHw78SIre9"
"97","Una vegada més, l’Estat actua unilateralment presentant un Pla que no podem compartir. Presentarem al·legacions en defensa del #DeltadelEbre, les volem consensuar amb la Taula de Consens i, reclamem de nou, la constitució immediata d’una Comissió Mixta. https://t.co/hE94H0ApTL"
"98","I la gent de @JuntsXCat a les Terres de l'Ebre estarem al vostre costat per defensar-lo. Novament, un pla d'esquena al consens i al territori, malgrat els advertiments. Unim esforços, tots, i exigim el que el Delta necessita i mereix! #DeltadelEbre https://t.co/IDlSZr1zFe"
"99","Avui amb companys de @jxcateixample al Fort Pienc, compartint amb veïns i veïnes les problemàtiques del barri. Des de #Junts hem lluitat per projectes que Colau ha aturat com el CAP Sant Joan provisional que és més important que mai. No deixarem de treballar per fer-ho possible. https://t.co/Lrcb7VDDPw"
"100","<U+0001F3A5> La tramitació d'avui al Congrés presentada per @JuntsXCat ha de tirar endavant perquè volem seguir defensant el model de @bomberscat amb funcionaris i voluntaris. Gràcies per la feina @LauraBorras i @miriamnoguerasM https://t.co/zEveMqbnyz"
